seconds,connectivity,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,clk:clk_set_rate,cpu-migrations,cs,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,qdisc:qdisc_dequeue.1,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:consume_skb.1,skb:kfree_skb,skb:kfree_skb.1,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written,label
5.010651128,1,0,0,0,0,0,0,0,53,293394,517,0,4,2304,154371,4792,0,0,16616,11117,2147,2580,1886,1723,1878,0,4,472,472,346,45,17,1344354,399,399,0,47,8,157348,157332,215,9,0,0,4,293075,147683,6,6,845,845,44,44,210,0,0,0,14,392387,348,77,1,5,5,256,0,0,256,1,1,0,2,2.0
5.010759354,1,0,0,0,0,0,0,0,16,276428,339,0,5,578,146086,4225,0,0,16727,11501,5515,5921,2662,2035,2678,0,5,305,305,261,1672,397,1294452,229,229,6,46,6,150865,150845,132,11,6,8,17,276341,139307,11,13,949,949,36,36,578,0,8,0,20,365385,353,76,1,0,0,11,0,0,11,1,0,0,1,5.0
5.013669256,1,0,1,0,1,0,1,10,74,316117,510,0,7,2483,163885,4652,0,0,17017,11263,4864,5644,2588,1743,2665,189,72,467,467,337,1674,721,1432387,391,391,7,49,45,173685,173675,244,11,7,8,17,316169,161642,11,14,923,923,36,36,278,0,9,0,11,415736,466,99,1,3,6,254,0,0,254,1,1,0,2,8.0
5.013208094,1,9,11,409,2,522,1,0,29,620640,88,54,11,2735,260722,6857,467,1,24160,19068,12896,13005,2534,364,2259,189,9,168,242,179,5514,1754,2347057,329,329,29,130,16,407244,407199,260,16,29,29,57,620203,385177,27,34,520,520,82,82,27,17,32,5,128,656040,592,87,1,0,0,473,5,57,530,1,0,0,1,11.0
5.02357237,1,0,0,0,0,0,0,0,4,539980,4,0,5,1099,243404,4581,0,0,22549,17475,1266,1965,167,10,176,0,121,15,15,15,88,73,2055339,23,23,2,132,6,335879,335869,103,11,2,0,2,539653,322011,8,8,155,155,31,31,80,0,1,0,11,697134,358,118,1,0,0,54,0,0,54,1,0,0,1,10.0
5.011623064,1,0,0,0,0,8,0,0,17,286658,528,0,6,2230,151040,4864,0,0,16893,11318,4648,5163,2390,1857,2412,126,5,466,466,337,1170,345,1320198,391,391,8,48,6,156081,156066,213,12,8,10,17,286661,144421,10,15,840,840,41,41,217,0,9,0,13,354368,366,78,1,0,0,256,0,0,256,1,0,0,1,2.0
5.013750584,1,0,0,0,0,0,0,0,27,278275,340,0,5,2045,147091,4173,0,0,16517,11275,6800,7203,3336,2251,3336,126,5,301,301,254,2509,939,1279610,225,225,11,46,45,151987,151966,130,12,11,13,25,278109,140248,14,18,947,947,32,32,582,0,13,0,13,382265,353,79,1,0,0,29,0,0,29,1,0,0,1,8.0
5.010823061,1,0,0,0,0,0,0,0,3,581687,3,0,5,2899,226827,4880,0,0,23328,18203,3972,4436,893,155,902,63,5,108,108,83,1639,687,2080037,212,212,7,132,45,396907,396885,127,12,7,8,16,581309,381165,10,13,233,233,26,26,24,0,8,0,80,735034,389,66,1,0,0,22,0,0,22,1,0,0,1,14.0
5.009814379,1,5,7,5,2,0,1,0,9,625802,2,2,11,1807,261764,6380,0,1,23465,18369,6193,6680,1274,359,1296,126,9,102,102,82,2495,948,2340319,201,201,11,131,135,407118,407099,122,15,11,13,26,625056,389588,14,18,223,223,30,30,24,0,13,0,80,620134,573,76,1,5,5,26,1,5,31,1,1,0,2,12.0
5.010311522,1,0,2,0,2,8,0,2,6,651327,14,2,9,2834,282462,4768,0,0,23337,18161,1620,1870,228,23,200,0,116,104,104,81,278,97,2442351,205,205,4,135,5,408671,408654,191,16,4,0,7,650958,394688,8,12,332,332,21,21,89,0,6,0,79,839678,515,119,1,0,0,4,0,0,4,1,0,0,1,1.0
5.010434843,1,0,0,0,0,0,0,0,3,283389,344,0,5,586,149364,3934,0,0,15909,10793,1923,2378,2116,2086,2112,0,5,299,299,255,42,5,1297968,221,221,0,46,5,150129,150117,132,12,0,0,4,283125,142617,6,6,939,939,33,33,565,0,0,0,10,397785,319,74,1,0,0,4,0,0,4,1,0,0,1,5.0
5.013442469,1,0,0,0,0,0,0,1,22,319940,507,0,5,2348,160545,4245,0,0,16513,11034,1993,2412,1768,1603,1789,189,5,465,465,336,39,5,1443879,387,387,0,48,6,177067,177024,215,11,0,0,4,319690,167698,6,6,825,825,40,40,207,0,0,0,11,417793,336,67,1,0,0,246,0,0,246,1,0,0,1,3.0
5.010490804,1,5,7,5,2,0,1,0,32,263681,339,2,11,608,133219,4338,0,1,17070,11811,8267,8683,3491,2262,3477,189,9,306,306,258,3212,1062,1223280,227,227,13,47,44,152285,152262,139,15,13,16,29,263442,138618,15,20,1035,1035,28,28,668,0,16,0,18,323214,364,84,1,0,0,25,0,0,25,1,0,0,1,6.0
5.012637905,1,0,0,0,0,0,0,0,9,615690,5,0,6,1141,247943,5002,0,0,23618,18487,6126,6540,1291,170,1297,252,5,107,107,85,2528,924,2245019,209,209,11,132,44,411101,411071,122,11,11,13,26,615326,393493,14,18,234,234,30,30,24,0,13,0,79,767668,385,66,1,0,0,26,0,0,26,1,0,0,1,1.0
5.010524088,1,5,7,5,2,0,1,2,41,312368,505,2,10,2532,156783,4490,0,1,17154,11604,5341,5796,2284,1546,2324,0,9,470,470,340,1680,384,1390883,391,391,6,48,5,177660,177649,217,15,6,8,17,312377,164689,11,13,825,825,30,30,208,0,8,0,17,365631,365,82,1,5,5,256,1,5,261,1,1,0,2,3.0
5.010436839,1,0,0,0,0,0,0,0,63,253980,509,0,5,2448,116796,4644,0,0,16502,11023,1917,2421,1853,1851,1856,126,5,471,471,341,36,5,1122537,397,397,0,48,7,155108,155103,220,11,0,0,4,253951,145779,6,6,837,837,37,37,208,0,0,0,15,289814,352,72,1,0,0,254,0,0,254,1,0,0,1,2.0
5.010710799,1,5,8,5,3,0,2,12,18,359791,334,2,13,2250,186334,3980,0,1,17088,11771,5594,6046,2850,2316,2865,189,131,299,299,253,1672,382,1637293,223,223,6,50,5,193190,193167,204,15,6,8,17,359597,181561,12,14,1302,1302,24,24,894,0,9,0,17,477389,527,141,1,3,6,11,1,5,16,1,1,0,2,8.0
5.016002332,1,5,7,5,2,0,1,0,3,571261,3,2,11,457,273514,4651,0,1,22374,17416,3925,4543,779,213,726,63,9,13,13,13,1545,525,2256222,21,21,7,129,16,338192,338171,32,15,7,8,17,570699,322337,12,14,41,41,23,23,21,0,8,0,10,748696,234,79,1,5,5,58,1,5,63,1,1,0,2,10.0
5.010342435,1,0,0,0,0,0,0,0,11,272207,338,0,5,579,143095,4114,0,0,16757,11592,5522,5930,2678,2113,2679,0,5,306,306,257,1678,392,1283006,227,227,7,46,6,149443,149430,135,11,6,8,17,271736,137770,11,13,940,940,36,36,571,0,8,0,18,339123,350,79,1,0,0,13,0,0,13,1,0,0,1,5.0
5.010389344,1,9,11,418,2,524,1,0,18,605323,68,54,10,2669,243112,6385,480,1,23999,18758,9665,10119,2073,716,2072,378,9,137,172,139,4152,1499,2232918,269,269,23,133,45,407493,407457,195,16,23,24,44,604955,388298,22,29,368,368,72,72,24,15,24,4,90,652932,571,81,1,0,0,494,4,54,548,1,0,0,1,11.0
5.01068127,1,6,8,6,2,0,1,0,17,580007,3,2,11,1733,219385,4853,0,1,23768,18613,6349,6708,1310,169,1320,63,8,109,109,86,2530,944,2076611,213,213,12,132,46,404313,404290,126,13,11,13,26,579666,386512,14,18,240,240,37,37,30,0,13,0,82,701155,401,75,1,0,0,24,0,2,26,1,0,0,1,1.0
5.009703763,1,0,0,0,0,0,0,2,4,620327,3,0,5,2502,261741,5617,0,0,20094,15768,6937,7175,1280,295,1331,63,5,92,92,80,2484,947,2327116,179,179,11,114,46,398046,398010,111,11,11,13,25,619401,380879,14,18,206,206,37,37,30,0,13,0,77,630092,571,69,1,0,0,27,0,0,27,1,0,0,1,13.0
5.010250034,1,7,9,7,2,0,1,0,4,631258,2,2,11,2427,261572,5549,0,1,18459,14438,1728,2198,79,7,83,0,9,87,87,75,35,5,2323404,171,171,0,110,6,403736,403718,107,15,0,0,3,630896,391787,6,6,183,183,23,23,12,0,0,0,72,664684,534,70,1,5,5,5,1,7,12,1,1,0,2,9.0
5.010062094,1,0,0,0,0,0,0,0,1,286201,334,0,6,1822,150465,3934,0,0,16012,10832,2100,2546,2203,2106,2234,0,5,294,294,253,9,5,1350964,215,215,0,46,6,151312,151310,125,11,0,0,4,286138,144274,6,6,1028,1028,36,36,667,0,0,0,13,385425,322,66,1,0,0,6,0,0,6,1,0,0,1,7.0
5.010390322,1,0,0,0,0,0,0,0,25,295486,507,0,4,2206,155736,4688,0,0,16500,11028,1998,2494,1865,1725,1866,63,4,467,467,336,45,5,1275175,391,391,0,48,6,158500,158486,215,9,0,0,4,295345,149043,6,6,829,829,40,40,207,0,0,0,11,366669,343,72,1,0,0,256,0,0,256,1,0,0,1,2.0
5.010189403,1,0,0,0,0,0,0,12,8,334878,337,0,5,2200,165381,3627,0,0,16106,11012,1982,2457,2288,2121,2287,0,5,293,293,253,34,5,1502321,209,209,1,47,5,185461,185455,126,12,0,0,4,334622,178005,6,6,1201,1201,25,25,843,0,0,0,10,438391,349,69,1,0,0,3,0,0,3,1,0,0,1,4.0
5.010578248,1,0,0,0,0,0,0,0,6,657751,5,0,5,495,285906,6340,0,0,23394,18342,3430,3840,474,22,477,0,5,106,106,81,914,253,2492764,209,209,4,132,98,412706,412686,126,11,4,5,12,657390,397622,10,11,226,226,31,31,17,0,5,0,79,660675,584,64,1,0,0,7,0,0,7,1,0,0,1,12.0
5.010174407,1,0,0,0,0,0,0,6,121,322121,511,0,5,2340,166430,4349,0,0,16486,10950,1924,2370,1767,1588,1780,0,5,465,465,337,39,5,1434948,389,389,0,48,5,173272,173261,216,12,0,0,4,322080,164006,6,6,830,830,37,37,206,0,0,0,10,435152,350,70,1,0,0,250,0,0,250,1,0,0,1,3.0
5.012633523,1,5,8,5,3,0,2,0,3,647799,3,2,12,2910,282657,5036,1,1,23331,18278,3121,3617,458,147,461,63,11,108,108,84,913,254,2427563,211,211,4,131,6,406041,406013,127,15,4,5,13,647500,391126,10,11,228,228,25,25,16,0,5,0,81,833890,361,78,3,1,0,7,1,5,12,1,2,2,3,14.0
5.010359054,1,0,0,0,0,0,0,2,5,661674,3,0,6,642,289568,6596,0,0,23695,18646,4648,5029,623,93,631,0,5,112,112,88,1658,378,2508196,213,213,6,132,97,415197,415177,124,11,6,8,16,661287,398226,11,13,226,226,21,21,15,0,8,0,85,700534,600,67,1,0,0,10,0,0,10,1,0,0,1,12.0
5.011603024,1,6,8,6,2,0,1,0,17,272721,344,2,12,677,143197,4302,0,1,16535,11233,6841,7348,3286,2239,3299,63,9,297,297,253,2537,960,1265395,217,217,11,46,44,149762,149740,130,15,11,13,25,272714,138274,14,18,1035,1035,29,29,671,0,13,0,10,355472,362,87,1,0,0,27,0,1,28,1,0,0,1,6.0
5.018649325,1,0,0,0,0,0,0,0,0,585880,2,0,5,550,285226,4560,0,0,22371,17317,801,1683,126,7,148,0,114,12,12,12,67,65,2321115,21,21,0,133,5,339181,339151,91,11,0,0,1,585123,325786,7,7,124,124,21,21,61,0,0,0,10,784148,340,108,1,5,5,56,0,0,56,1,1,0,2,10.0
5.011013063,1,5,7,5,2,0,1,0,20,590707,2,2,10,587,229480,6329,0,1,23976,18793,6443,7300,1084,363,1282,315,119,110,110,84,2552,756,2141087,209,209,10,134,124,405707,405684,187,13,10,16,23,590562,387173,15,20,313,313,22,22,66,0,13,0,82,592397,720,123,1,0,0,23,0,0,23,1,0,0,1,12.0
5.009913211,1,0,0,0,0,4,0,5,2,178144,4,0,5,1141,88466,2215,0,0,7463,5802,3832,5054,1023,280,5949,4851,5,14,14,13,1899,801,773343,25,25,10,54,44,107343,107311,36,13,9,21,18,177612,99859,11,18,44,44,22,22,21,1,11,1,11,234107,261,97,1,0,0,28,0,0,28,1,0,0,1,13.0
5.011656277,1,0,0,0,0,0,0,0,83,269682,507,0,5,2483,141728,4849,0,0,17132,11476,6916,7313,3045,1808,3053,63,5,468,468,339,2520,936,1221602,397,397,12,47,46,150605,150584,220,12,11,13,25,269640,137004,14,18,845,845,40,40,221,0,13,0,14,349753,363,72,1,5,5,268,0,0,268,1,1,0,2,2.0
5.011400649,1,0,0,0,0,8,0,2,31,274493,343,0,5,2288,144590,4211,0,0,16788,11521,6616,7119,3279,2507,3290,252,5,306,306,260,2607,924,1283311,227,227,14,46,44,150600,150576,131,12,13,15,25,274327,138057,11,19,950,950,27,27,581,0,15,0,17,343821,355,79,1,0,0,18,0,0,18,1,0,0,1,5.0
5.010391234,1,5,7,5,2,0,1,0,9,563123,3,2,12,2077,222288,5082,0,1,23738,18596,5402,5908,1061,290,1069,126,9,112,112,94,2385,824,2026261,211,211,9,132,44,384811,384789,127,15,9,11,20,562733,366875,11,15,231,231,22,22,26,0,11,0,90,681623,400,79,1,5,5,24,1,5,29,1,1,0,2,1.0
5.009552782,1,0,0,0,0,2,0,0,0,667497,2,0,5,491,293320,6201,0,0,22910,17890,1186,1862,96,9,147,0,5,105,105,82,73,36,2523759,207,207,1,132,97,412927,412903,121,12,0,4,3,666434,399727,6,7,221,221,20,20,13,0,0,0,80,719749,574,57,1,0,0,2,0,0,2,1,0,0,1,12.0
5.010760059,1,0,0,0,0,0,0,0,5,279590,343,0,5,2004,142407,4008,0,0,16166,10964,3984,4492,2492,2090,2500,0,5,297,297,254,916,265,1282961,219,219,4,46,5,154079,154068,127,12,4,7,13,279475,144874,10,11,942,942,34,34,572,0,5,0,10,376809,332,75,1,0,0,8,0,0,8,1,0,0,1,5.0
5.010434784,1,7,15,6,8,0,2,0,9,577868,12,2,29,2811,225514,5058,2,1,23411,18328,6280,6679,1295,359,1302,189,21,107,107,83,2514,947,2121245,211,211,12,130,45,395485,395462,129,17,11,13,25,577511,377968,14,18,244,244,34,34,33,0,13,0,80,705982,394,96,3,2,6,28,1,6,34,1,3,2,3,1.0
5.010632442,1,0,0,0,0,0,0,0,2,665437,12,0,5,526,290849,5161,0,0,23225,18150,1165,1657,84,70,92,63,5,107,107,85,32,5,2510224,210,210,0,133,5,414006,413995,127,12,0,0,4,665081,400657,6,6,233,233,27,27,18,0,0,0,81,872971,360,56,1,0,0,4,0,0,4,1,0,0,1,1.0
5.01029207,1,0,0,0,0,0,0,0,2,589820,3,0,5,557,230526,5649,0,0,20182,15877,3437,3889,256,140,265,63,5,99,99,84,786,131,2101687,187,187,2,115,6,397292,397270,111,12,2,3,7,589503,382179,7,8,203,203,30,30,19,0,3,0,81,673308,576,68,1,0,0,6,0,0,6,1,0,0,1,9.0
5.012086246,1,0,0,0,0,0,0,2,3,582039,2,0,5,599,221067,6297,0,0,23044,18011,1380,1830,89,70,97,63,5,105,105,81,40,5,2040996,207,207,0,131,98,400246,400228,121,12,0,1,3,581701,386959,6,6,222,222,30,30,15,0,0,0,79,595545,597,61,1,0,0,4,0,0,4,1,0,0,1,12.0
5.011130246,1,0,0,0,0,0,0,4,27,309699,355,0,5,2182,135816,3972,0,0,17043,11765,6446,6940,3285,2404,3282,189,5,324,324,278,2386,791,1323197,231,231,9,47,44,194210,194182,133,11,9,12,20,309342,181520,11,15,1248,1248,27,27,857,0,12,0,17,383310,372,77,1,5,5,17,0,0,17,1,1,0,2,4.0
5.009717682,1,0,0,0,0,0,0,4,21,313581,329,0,5,2286,143573,3934,0,0,16957,11664,6419,6941,3243,2254,3275,63,126,293,293,252,2373,815,1370711,213,213,9,49,44,190746,190728,191,12,9,11,20,313383,178169,12,16,1254,1254,30,30,861,0,11,0,17,403517,493,117,1,0,0,23,0,0,23,1,0,0,1,4.0
5.010945808,1,0,0,0,0,0,0,0,4,655292,13,0,5,496,290815,5760,0,0,23467,18412,3852,4333,609,86,487,0,5,130,130,102,1142,384,2497064,233,233,5,132,99,406120,406088,138,12,4,5,12,655007,390441,10,11,251,251,33,33,29,4,5,0,95,739599,602,63,1,0,0,10,0,0,10,1,0,0,1,12.0
5.010937761,1,0,0,0,0,0,0,0,19,294416,505,0,6,2293,154984,4631,0,0,16366,10920,1838,2362,1887,1662,1860,126,5,464,463,337,55,31,1320503,385,385,0,47,6,157581,157574,210,12,0,0,3,294198,148392,6,6,823,823,34,34,207,0,0,0,11,404778,346,72,1,0,0,252,0,0,252,1,0,0,1,2.0
5.010038235,1,0,0,0,0,0,0,0,6,602240,3,0,5,2813,242150,6198,0,0,22532,17689,5749,6248,2538,1675,2563,1386,4,107,107,90,2395,2296,2233037,203,203,9,125,131,402129,402106,117,10,9,12,20,601816,384657,11,15,220,220,29,29,24,0,12,0,87,608297,583,69,1,0,0,24,0,0,24,1,0,0,1,12.0
5.010524972,1,0,3,0,3,0,1,0,18,600663,2,0,13,1403,233481,5662,1,0,18659,14618,6594,7100,1273,168,1272,126,10,84,84,69,2514,945,2151876,165,165,11,108,44,404515,404484,104,12,11,13,26,600256,388628,14,18,184,184,23,23,21,0,13,0,67,687218,535,81,3,5,5,26,0,0,26,1,3,2,3,13.0
5.010695623,1,0,0,0,0,0,0,0,28,247686,338,0,5,688,122195,4253,0,0,16625,11320,6906,7322,3306,2239,3319,126,5,300,300,254,2512,947,1129303,227,227,12,46,45,145852,145833,135,12,11,13,26,247524,134284,14,18,1044,1044,32,32,675,0,13,0,14,294419,357,80,1,0,0,28,0,0,28,1,0,0,1,6.0
5.010406054,1,9,11,409,2,522,1,0,34,580276,78,54,9,2869,226953,6236,467,1,23441,18388,12900,13429,2739,807,2739,504,8,136,179,148,5648,1924,2124635,269,269,31,132,45,399795,399750,201,13,31,33,60,579867,378635,29,38,386,386,82,82,24,19,33,5,91,621189,557,81,1,0,0,486,5,54,540,1,0,0,1,11.0
5.010453324,1,5,8,5,3,0,2,0,9,582527,3,2,12,1750,232409,4867,2,1,23531,18407,6045,6470,1279,169,1292,0,11,106,106,83,2517,949,2118634,207,207,11,131,45,393656,393632,125,15,11,13,26,582163,376281,14,18,234,234,27,27,29,0,13,0,80,729023,396,79,3,1,0,20,1,5,25,1,2,2,3,14.0
5.016716448,1,0,0,0,0,0,0,0,4,506890,4,0,5,492,219021,4580,0,0,22376,17394,2191,2969,411,73,433,0,5,17,17,17,669,295,1947672,29,29,3,134,17,327699,327676,36,12,3,3,8,506455,313093,8,9,55,55,33,33,27,0,3,0,13,653188,230,64,1,0,0,56,0,0,56,1,0,0,1,10.0
5.020274927,1,0,0,0,0,0,0,0,7,280911,337,0,5,2060,147080,3884,0,0,16251,11096,5094,5403,3100,2271,2781,0,5,293,293,253,1744,691,1299908,209,209,7,46,16,152112,152086,126,12,7,7,18,280789,142414,11,12,1026,1026,28,28,670,0,8,0,10,374650,332,71,1,0,0,8,0,0,8,1,0,0,1,7.0
5.010290649,1,0,1,0,1,9,1,0,30,264665,354,0,8,2332,137819,4437,0,0,17110,11698,6941,7711,3346,2384,3340,126,78,308,308,263,2695,969,1210148,231,231,13,48,45,148454,148431,175,14,13,18,25,264382,135143,13,21,1058,1058,32,32,659,0,17,0,20,337261,459,118,1,3,6,23,0,0,23,1,1,0,2,5.0
5.01356189,1,6,8,0,2,0,1,0,73,239482,509,2,9,2752,117714,4757,0,1,16844,11261,4868,5566,2680,1874,2675,63,8,470,470,340,1682,705,1015466,397,397,7,47,46,142623,142611,220,16,7,8,16,239345,130621,10,13,843,843,39,39,220,0,8,0,14,254136,364,87,1,0,0,275,0,0,275,1,0,0,1,2.0
5.010999491,1,0,0,0,0,6,0,0,42,272985,516,0,5,2316,142977,5204,0,0,17392,11620,7540,7970,6329,2074,6301,126,113,465,465,335,5847,4130,1259308,389,389,15,50,44,153293,153274,271,9,15,18,30,273052,138938,15,23,924,924,41,41,272,0,17,0,11,338669,515,111,1,0,0,268,0,0,268,1,0,0,1,8.0
5.010436451,1,0,0,0,0,8,0,0,29,273246,340,0,5,629,144156,4290,0,0,16735,11415,7484,7828,3459,2247,3478,63,5,297,297,249,2763,1025,1272070,221,221,15,46,44,149566,149546,132,12,15,17,29,273233,137419,14,22,1044,1044,35,35,680,0,17,0,11,352337,359,77,1,0,0,25,0,0,25,1,0,0,1,6.0
5.011761268,1,6,8,6,2,0,1,12,19,347058,336,2,10,1991,176182,3953,0,1,16647,11426,5189,5691,3159,2396,3174,63,9,298,298,254,1650,706,1552779,219,219,7,47,45,189226,189200,135,16,7,8,17,346792,179079,10,13,1221,1221,37,37,862,0,8,0,13,442168,387,85,1,0,0,21,1,6,27,1,0,0,1,4.0
5.010438352,1,0,0,0,0,0,0,0,50,267290,501,0,5,2249,129952,4633,0,0,16963,11396,6697,7136,6054,2138,6007,126,5,464,464,329,5467,3891,1201828,389,389,11,47,45,159574,159561,212,12,11,13,26,267258,146264,14,18,824,824,33,33,214,0,13,0,11,340202,357,73,1,0,0,272,0,0,272,1,0,0,1,8.0
5.010487187,1,0,0,0,0,0,0,0,23,273485,339,0,5,1988,144350,4067,0,0,16563,11408,3491,3930,2303,2163,2327,63,5,311,311,263,780,120,1231284,237,237,2,46,7,147071,147062,140,12,2,3,7,273319,137403,7,8,1048,1048,32,32,670,0,3,0,22,367135,349,74,1,0,0,6,0,0,6,1,0,0,1,6.0
